state,2020-03-17,2020-03-18,2020-03-19,2020-03-20,2020-03-21,2020-03-22,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05,2020-04-06,2020-04-07,2020-04-08,2020-04-09,2020-04-10,2020-04-11,2020-04-12,2020-04-13,2020-04-14,2020-04-15,2020-04-16,2020-04-17,2020-04-18,2020-04-19,2020-04-20,2020-04-21,2020-04-22,2020-04-23,2020-04-24,2020-04-25,2020-04-26,2020-04-27,2020-04-28,2020-04-29,2020-04-30,2020-05-01,2020-05-02,2020-05-03,2020-05-04,2020-05-05,2020-05-06,2020-05-07,2020-05-08,2020-05-09,2020-05-10,2020-05-11,2020-05-12,2020-05-13,2020-05-14,2020-05-15,2020-05-16,2020-05-17,2020-05-18,2020-05-19,2020-05-20,2020-05-21,2020-05-22,2020-05-23,2020-05-24,2020-05-25,2020-05-26,2020-05-27,2020-05-28,2020-05-29,2020-05-30,2020-05-31,2020-06-01,2020-06-02,2020-06-03,2020-06-04,2020-06-05,2020-06-06,2020-06-07
PA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1665.0,1898.0,2051.0,2072.0,2115.0,2097.0,2243.0,2317.0,2395.0,2512.0,2603.0,2613.0,2634.0,2701.0,2743.0,2764.0,2750.0,2746.0,2748.0,2736.0,2800.0,2781.0,2781.0,2707.0,2683.0,2673.0,2645.0,2708.0,2580.0,2545.0,2420.0,2342.0,2285.0,2230.0,2176.0,2187.0,2012.0,1983.0,1934.0,1873.0,1821.0,1885.0,1861.0,1818.0,1654.0,1580.0,1560.0,1533.0,1628.0,1493.0,1493.0,1476.0,1445.0,1352.0,1352.0,1302.0,1302.0,1164.0,1174.0,1174.0,1174.0,1174.0
PR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,161.0,161.0,0.0,0.0,0.0,0.0,159.0,147.0,161.0,0.0,0.0,0.0,0.0,0.0,96.0,106.0,106.0,112.0,104.0,105.0,120.0,101.0,106.0,99.0,99.0,106.0,107.0,114.0,116.0,100.0,105.0
RI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,23.0,28.0,29.0,35.0,41.0,59.0,60.0,72.0,77.0,93.0,103.0,109.0,123.0,143.0,160.0,169.0,183.0,201.0,197.0,213.0,229.0,245.0,252.0,293.0,298.0,297.0,309.0,314.0,316.0,267.0,263.0,258.0,266.0,266.0,269.0,339.0,352.0,333.0,330.0,339.0,327.0,324.0,318.0,312.0,292.0,283.0,276.0,277.0,269.0,271.0,272.0,273.0,260.0,236.0,247.0,257.0,254.0,242.0,233.0,240.0,240.0,226.0,218.0,222.0,219.0,219.0,206.0,195.0,188.0,189.0,185.0,182.0,182.0,182.0
SC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,414.0,429.0,430.0,461.0,407.0,433.0,398.0,397.0,399.0,387.0,402.0,450.0,425.0,433.0,453.0,453.0,453.0,477.0
SD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.0,62.0,58.0,61.0,61.0,64.0,61.0,69.0,69.0,76.0,69.0,71.0,71.0,69.0,75.0,72.0,70.0,76.0,79.0,77.0,78.0,74.0,79.0,85.0,80.0,75.0,77.0,77.0,75.0,81.0,91.0,83.0,90.0,85.0,99.0,106.0,101.0,105.0,95.0,93.0,86.0,87.0,89.0,87.0,86.0,83.0,93.0,87.0
TX,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,196.0,196.0,196.0,196.0,196.0,827.0,1153.0,1252.0,1491.0,1439.0,1532.0,1514.0,1338.0,1176.0,1409.0,1538.0,1459.0,1522.0,1321.0,1471.0,1411.0,1419.0,1678.0,1649.0,1674.0,1597.0,1542.0,1563.0,1682.0,1702.0,1686.0,1778.0,1725.0,1540.0,1533.0,1888.0,1812.0,1750.0,1734.0,1735.0,1626.0,1525.0,1725.0,1676.0,1648.0,1716.0,1791.0,1512.0,1551.0,1732.0,1791.0,1680.0,1578.0,1688.0,1572.0,1511.0,1534.0,1645.0,1692.0,1701.0,1752.0,1684.0,1756.0,1773.0,1487.0,1796.0,1855.0,1822.0,1878.0
UT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,194.0,216.0,172.0,144.0,160.0,166.0,158.0,142.0,161.0,168.0,181.0,179.0,96.0,144.0,169.0,163.0,165.0,128.0,131.0,134.0,127.0,169.0,135.0,139.0,142.0,134.0,159.0,150.0,164.0,133.0,147.0,207.0
VA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,246.0,0.0,0.0,0.0,0.0,0.0,0.0,669.0,1238.0,1252.0,751.0,1238.0,1282.0,1298.0,1337.0,1308.0,1307.0,1319.0,1296.0,1331.0,1374.0,1379.0,1399.0,1405.0,1436.0,1455.0,1508.0,1566.0,1550.0,1431.0,1426.0,1413.0,1463.0,1496.0,1496.0,1613.0,1625.0,1593.0,1555.0,1504.0,1529.0,1526.0,1533.0,1511.0,1505.0,1524.0,1502.0,1497.0,1536.0,1491.0,1459.0,1384.0,1351.0,1376.0,1403.0,1459.0,1502.0,1524.0,1471.0,1458.0,1371.0,1362.0,1311.0,1266.0,1205.0,1171.0,1186.0
VI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,30.0,29.0,29.0,29.0,29.0,28.0,29.0,35.0,33.0,32.0,77.0,34.0,33.0,64.0,63.0,58.0,32.0,56.0,53.0,49.0,41.0,37.0,44.0,32.0,37.0,34.0,33.0,29.0,26.0,23.0,19.0,11.0,19.0,15.0,33.0,26.0,14.0,15.0,21.0,21.0,14.0,18.0,17.0,18.0,17.0,20.0,14.0,22.0,24.0,15.0,14.0,16.0,21.0,25.0,19.0,25.0,21.0,17.0,14.0,17.0,18.0,16.0,10.0,10.0,13.0,14.0,16.0,14.0
WA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,574.0,581.0,638.0,641.0,655.0,650.0,642.0,649.0,642.0,527.0,387.0,645.0,595.0,622.0,518.0,586.0,403.0,503.0,543.0,544.0,551.0,455.0,508.0,536.0,436.0,490.0,474.0,470.0,428.0,411.0,263.0,292.0,390.0,358.0,393.0,393.0,335.0,350.0,321.0,384.0,365.0,374.0,331.0,168.0,168.0,168.0,168.0,242.0,332.0,332.0,313.0,207.0,267.0,241.0,325.0,317.0,319.0,266.0,245.0,232.0,263.0,272.0,285.0,247.0,205.0
WI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,444.0,442.0,442.0,432.0,406.0,394.0,361.0,361.0,397.0,406.0,358.0,355.0,349.0,361.0,337.0,337.0,337.0,544.0,577.0,554.0,560.0,582.0,582.0,573.0,543.0,511.0,624.0,552.0,543.0,514.0,520.0,520.0,527.0,507.0,548.0,546.0,543.0,574.0,609.0,609.0,524.0,583.0,611.0,611.0,606.0,640.0,748.0,659.0,658.0,617.0,625.0,613.0,597.0,556.0,551.0,526.0,492.0,491.0
WV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85.0,85.0,81.0,95.0,87.0,82.0,85.0,85.0,83.0,72.0,77.0,85.0,103.0,108.0,97.0,97.0,100.0,100.0,87.0,102.0,84.0,81.0,76.0,73.0,73.0,64.0,76.0,76.0,65.0,53.0,49.0,49.0,50.0,58.0,52.0,57.0,55.0,48.0,48.0,54.0,58.0,46.0,47.0,39.0,23.0,36.0,35.0,36.0,35.0,33.0,33.0,33.0,31.0,31.0,34.0,28.0,27.0,27.0,28.0
WY,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,0.0,16.0,16.0,16.0,16.0,16.0,12.0,13.0,13.0,13.0,13.0,13.0,13.0,11.0,11.0,9.0,12.0,12.0,12.0,10.0,10.0,8.0,8.0,8.0,8.0,8.0,8.0,9.0,8.0,10.0,10.0,10.0,10.0,14.0,12.0,15.0,13.0,13.0,13.0,8.0,7.0,4.0,4.0,4.0,4.0,4.0
