state,2020-03-17,2020-03-18,2020-03-19,2020-03-20,2020-03-21,2020-03-22,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05,2020-04-06,2020-04-07,2020-04-08,2020-04-09,2020-04-10,2020-04-11,2020-04-12,2020-04-13,2020-04-14,2020-04-15,2020-04-16,2020-04-17,2020-04-18,2020-04-19,2020-04-20,2020-04-21,2020-04-22,2020-04-23,2020-04-24,2020-04-25,2020-04-26,2020-04-27,2020-04-28,2020-04-29,2020-04-30,2020-05-01,2020-05-02,2020-05-03,2020-05-04,2020-05-05,2020-05-06,2020-05-07,2020-05-08,2020-05-09,2020-05-10,2020-05-11,2020-05-12,2020-05-13,2020-05-14,2020-05-15,2020-05-16,2020-05-17,2020-05-18,2020-05-19,2020-05-20,2020-05-21,2020-05-22,2020-05-23,2020-05-24,2020-05-25,2020-05-26,2020-05-27,2020-05-28,2020-05-29,2020-05-30,2020-05-31,2020-06-01,2020-06-02,2020-06-03,2020-06-04,2020-06-05,2020-06-06,2020-06-07
LA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,271.0,491.0,676.0,773.0,927.0,1127.0,1185.0,1355.0,1498.0,1639.0,1707.0,1726.0,1803.0,1981.0,1996.0,1983.0,2014.0,2054.0,2067.0,2084.0,2134.0,1977.0,1943.0,1914.0,1868.0,1761.0,1748.0,1794.0,1798.0,1747.0,1727.0,1697.0,1700.0,1701.0,1683.0,1666.0,1629.0,1601.0,1607.0,1545.0,1530.0,1502.0,1512.0,1465.0,1432.0,1359.0,1333.0,1324.0,1310.0,1320.0,1194.0,1193.0,1091.0,1028.0,1019.0,1031.0,1004.0,931.0,884.0,867.0,836.0,813.0,847.0,831.0,798.0,761.0,714.0,674.0,678.0,661.0,639.0,617.0,613.0,604.0,582.0,575.0
MA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1370.0,1632.0,1667.0,1831.0,2119.0,2302.0,2435.0,2507.0,2514.0,3485.0,3616.0,3637.0,3726.0,3756.0,3728.0,3789.0,3872.0,3977.0,3890.0,3851.0,3847.0,3879.0,3879.0,3892.0,3875.0,3856.0,3803.0,3716.0,3601.0,3617.0,3539.0,3542.0,3564.0,3436.0,3349.0,3229.0,3128.0,3102.0,3127.0,3101.0,2859.0,2767.0,2692.0,2597.0,2597.0,2472.0,2518.0,2396.0,2323.0,2237.0,2169.0,2132.0,2108.0,2106.0,2112.0,1991.0,1904.0,1824.0,1824.0,1657.0,1684.0,1637.0,1533.0,1529.0,1442.0
MD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1433.0,1432.0,1405.0,1425.0,1408.0,1463.0,1513.0,1528.0,1610.0,1711.0,1668.0,1657.0,1635.0,1649.0,1693.0,1707.0,1683.0,1674.0,1665.0,1640.0,1544.0,1563.0,1550.0,1538.0,1496.0,1500.0,1460.0,1447.0,1421.0,1410.0,1374.0,1329.0,1320.0,1290.0,1279.0,1315.0,1338.0,1334.0,1296.0,1239.0,1183.0,1174.0,1148.0,1109.0,1096.0,1076.0,1059.0,1003.0
ME,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,58.0,48.0,47.0,55.0,49.0,46.0,39.0,40.0,42.0,42.0,39.0,39.0,39.0,39.0,33.0,32.0,35.0,37.0,36.0,33.0,37.0,36.0,37.0,39.0,44.0,43.0,36.0,37.0,34.0,41.0,37.0,35.0,37.0,37.0,42.0,44.0,43.0,41.0,45.0,50.0,59.0,59.0,60.0,59.0,58.0,53.0,46.0,49.0,52.0,48.0,44.0,35.0,35.0,35.0,34.0
MI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3826.0,3823.0,3636.0,3636.0,3986.0,3910.0,3918.0,3809.0,3674.0,3634.0,3403.0,3374.0,3357.0,3305.0,3611.0,3022.0,2889.0,2757.0,2667.0,2623.0,2498.0,2319.0,2319.0,2100.0,2100.0,1948.0,1948.0,1818.0,1697.0,1637.0,1531.0,1437.0,1424.0,1384.0,1384.0,1330.0,1256.0,1256.0,1114.0,1075.0,1079.0,1066.0,1054.0,955.0,953.0,953.0,953.0,953.0,882.0,860.0,774.0,774.0,774.0,674.0,674.0,646.0,617.0,617.0,864.0,864.0
MN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,31.0,34.0,30.0,39.0,56.0,56.0,54.0,75.0,86.0,95.0,106.0,115.0,120.0,135.0,145.0,143.0,145.0,157.0,157.0,177.0,197.0,213.0,223.0,239.0,228.0,237.0,237.0,240.0,268.0,278.0,288.0,285.0,292.0,314.0,320.0,365.0,369.0,389.0,373.0,396.0,434.0,443.0,435.0,473.0,476.0,434.0,452.0,496.0,494.0,498.0,498.0,493.0,487.0,488.0,545.0,550.0,566.0,534.0,568.0,553.0,605.0,570.0,598.0,606.0,592.0,589.0,555.0,549.0,537.0,537.0,512.0,478.0,473.0,450.0
MO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,413.0,424.0,439.0,508.0,519.0,568.0,568.0,506.0,988.0,988.0,1041.0,1024.0,1043.0,1043.0,875.0,875.0,873.0,1001.0,1001.0,884.0,877.0,850.0,679.0,679.0,655.0,891.0,853.0,883.0,896.0,896.0,858.0,893.0,953.0,917.0,832.0,855.0,824.0,824.0,787.0,771.0,796.0,812.0,775.0,775.0,570.0,721.0,546.0,697.0,711.0,742.0,742.0,729.0,500.0,644.0,648.0,650.0,679.0,718.0,693.0,693.0,571.0,599.0,666.0,666.0,657.0
MS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,548.0,548.0,628.0,595.0,586.0,649.0,644.0,590.0,639.0,677.0,639.0,651.0,632.0,667.0,646.0,645.0,618.0,650.0,632.0,607.0,645.0,507.0,604.0,604.0,589.0,573.0,641.0,608.0,559.0,611.0,644.0,638.0,557.0,590.0,512.0,566.0,561.0,547.0,594.0,584.0,593.0,570.0,584.0,584.0,602.0,633.0,604.0,604.0,585.0
MT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,29.0,21.0,22.0,21.0,24.0,21.0,21.0,21.0,17.0,18.0,19.0,14.0,13.0,13.0,12.0,11.0,11.0,11.0,10.0,5.0,5.0,5.0,5.0,5.0,6.0,6.0,6.0,6.0,6.0,4.0,4.0,4.0,4.0,3.0,3.0,3.0,3.0,3.0,4.0,5.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0
NC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,29.0,77.0,87.0,91.0,137.0,157.0,204.0,184.0,184.0,271.0,261.0,270.0,354.0,386.0,398.0,423.0,362.0,331.0,313.0,418.0,431.0,452.0,429.0,388.0,465.0,373.0,427.0,434.0,486.0,477.0,456.0,451.0,473.0,463.0,551.0,546.0,547.0,502.0,475.0,498.0,534.0,516.0,525.0,515.0,513.0,442.0,464.0,475.0,521.0,507.0,492.0,481.0,493.0,511.0,585.0,554.0,578.0,568.0,589.0,587.0,627.0,621.0,702.0,708.0,680.0,638.0,649.0,650.0,716.0,684.0,659.0,717.0,708.0,696.0
